"","X","hazard.ratio","X5..CI","X95..CI","subset","SE","z_value","p_value"
"1","HR_CI1vs0_lower",1.16739430951112,0.94908084719286,1.48823334707758,"race, national origin",0.137538903031816,8.4877389871364,2.19525887661622e-16
"2","HR_CI1vs0_lower",1.2109651910072,0.912007306819653,1.60608001229789,"race, national origin",0.177059363642407,6.83931742493376,2.62667841585242e-11
"3","HR_CI1vs0_lower",NA,NA,NA,"race, national origin",NA,NA,NA
"4","HR_CI1vs0_lower",1.12501599202974,0.76888781194677,1.72315252539017,"race, national origin",0.243434875878418,4.62142487994046,5.03896479888088e-06
"5","HR_CI1vs0_lower",NA,NA,NA,"race, national origin",NA,NA,NA
"6","HR_CI1vs0_lower",1.68333375847451,0.851865167656446,5.35027695595224,"race, national origin",1.14755402762648,1.46688845836409,0.142716959782706
"7","HR_CI1vs0_lower",2.01249027726397,0.63912399712955,5.7792339788412,"race, national origin",1.31125254635501,1.53478464759381,0.124885847271058
"8","HR_CI1vs0_lower",1.66576469502661,6.72226971268003e-09,260055724.849876,"race, national origin",66340746.1351724,2.51092246028185e-08,0.999999981996686
"9","HR_CI1vs0_lower",1.12985626245197,0.534287061758211,2.93433093345066,"race, national origin",0.612256089717461,1.8453981616963,0.0645809281269124
"10","HR_CI1vs0_lower",1.42448098496844,0.502712475741564,5.11629572098178,"race, national origin",1.17693450133679,1.21033157185084,0.228274327437556
"11","",NA,NA,NA,"race, national origin",NA,NA,NA
"12","",NA,NA,NA,"race, national origin",NA,NA,NA
"13","HR_CI1vs0_lower",1.1646077423519,0.893488530171418,1.42135983673546,"race, national origin",0.134661047592868,8.64843815765459,6.22202660287851e-17
"14","HR_CI1vs0_lower",1.93679422439212,0.676201311193941,5.22952179193777,"race, national origin",1.16156134712853,1.66740588362382,0.0951680646378361
"15","HR_CI1vs0_lower",1.07448682115572,0.777570782430664,1.58474056243212,"race, national origin",0.205910658163637,5.218218574688,2.85489200030493e-07
"16","HR_CI1vs0_lower",1.38226426007811,0.410775919215569,4.71366001771354,"race, national origin",1.09767451492295,1.25926605864138,0.20959751495684
"17","",NA,NA,NA,"race, national origin",NA,NA,NA
