"","subset","hazard.ratio","X5..CI","X95..CI","SE","z_value","p_value"
"1","female","1.76742854922692","1.50031814423146","2.14432006532873","0.164286204361548","10.7582286418724","5.4923282129802e-25"
"2","female","1.54892234636109","1.31582230674422","1.85817689480171","0.138355762259564","11.1952138535092","7.42148280333681e-27"
"3","female",NA,NA,NA,NA,NA,NA
"4","female","1.81769373395244","1.45008888985033","2.36659024130782","0.233801365167727","7.7745214731678","4.56078521406201e-14"
"5","female","1","1","1","0","Inf","0"
"6","female","4.33323627055834","1.89140277621873","11.4362091814469","2.43489959317045","1.77963653315005","0.0747567649831533"
"7","female","3.83008134048351","1.81179581187348","10.5756811179824","2.2356850270686","1.71315784384237","0.0863577566870597"
"8","female","2.69742097544262","7.43929410051069e-09","19376738.3998299","4943045.51016069","5.45700210507456e-07","0.999999608732902"
"9","female","2.3533642897556","1.2424130952665","4.29989124738096","0.77996891635573","3.01725394487679","0.00260437965734309"
"10","female","2.24816040971558","0.846078496392771","5.90411462188242","1.29031533813511","1.74233409715553","0.0810964217894568"
"11","female",NA,NA,NA,NA,NA,NA
"12","female",NA,NA,NA,NA,NA,NA
"13","female","1.44960180780509","1.17315970972736","1.72808894646686","0.141563580800893","10.2399345905493","7.36854086269551e-23"
"14","female","3.47044258894879","1.30519809564685","9.9684270669435","2.2100073906369","1.57033076163091","0.116279598557665"
"15","female","1.71247116792759","1.31855047197266","2.21112792070886","0.227698328759235","7.52078935870599","2.74915844892336e-13"
"16","female","2.21105609944507","1.04536882549228","4.53214454608563","0.889483602192181","2.48577499798288","0.0128707646311137"
"17","female",NA,NA,NA,NA,NA,NA
"18","national origin","2.10433003222353","2.73755748545608e-07","13.0388757294902","3.32624373870777","0.63264456772523","0.537887611568683"
"19","national origin","1.43995637932348","1.46153024377116e-07","12.5045907099865","3.1899465724065","0.451404544445763","0.664697160051742"
"20","national origin",NA,NA,NA,NA,NA,NA
"21","national origin","4.03694370020377","4.47217430527206e-07","121298129.521922","30943400.3882453","1.30462187398684e-07","0.999999906458609"
"22","national origin",NA,NA,NA,NA,NA,NA
"23","national origin",NA,NA,NA,NA,NA,NA
"24","national origin",NA,"1","1","0",NA,NA
"25","national origin",NA,"1","1","0",NA,NA
"26","national origin",NA,NA,NA,NA,NA,NA
"27","national origin",NA,NA,NA,NA,NA,NA
"28","national origin",NA,NA,NA,NA,NA,NA
"29","national origin",NA,NA,NA,NA,NA,NA
"30","national origin","1.37733501909463","7.73319548650494e-08","8.67966606868725","2.2142005079988","0.622046203186661","0.544997112277244"
"31","national origin",NA,"1","1","0",NA,NA
"32","national origin","3.89887679558573","3.39961611580022e-07","35971332.7536084","9176360.39632859","4.24882701549696e-07","0.999999695359074"
"33","national origin",NA,"1","1","0",NA,NA
"34","national origin",NA,NA,NA,NA,NA,NA
"35","race","1.14731890921185","0.95848026214948","1.42506055854492","0.119025585815163","9.63926286398237","1.62831989674668e-20"
"36","race","1.19799720344116","0.938348392774329","1.51682838286397","0.147571426043276","8.1180838022792","3.67790724285541e-15"
"37","race",NA,NA,NA,NA,NA,NA
"38","race","1.10430824419437","0.818657162176926","1.60115110834439","0.199615802593741","5.53216844480927","5.59841031487986e-08"
"39","race",NA,NA,NA,NA,NA,NA
"40","race","1.67545250763102","0.715218548501236","6.3533167339582","1.4382903534329","1.16489170884868","0.246664048505372"
"41","race","2.00305379142249","0.723186748639358","6.07188930000607","1.36446493657314","1.46801411874545","0.142405970741293"
"42","race","1.65156367717733","1.08081556284142e-08","539618555.344781","137657794.730812","1.19976037710538e-08","0.999999991397718"
"43","race","1.13877752291425","0.452367369529548","3.06472784893202","0.666418489643488","1.70880241261532","0.0871666308577661"
"44","race","1.43566260819249","0.383880715255197","8.32422352219082","2.02559765483052","0.708760007086705","0.488139195997509"
"45","race",NA,NA,NA,NA,NA,NA
"46","race",NA,NA,NA,NA,NA,NA
"47","race","1.15481689886768","0.974853770250937","1.55958694451008","0.149166626086516","7.74179137227311","5.76743873667867e-14"
"48","race","1.92830886419488","0.682738981150278","6.11847516115206","1.3866673928576","1.39060662573242","0.165047782802501"
"49","race","1.05629253224661","0.78480287081496","1.43173093920735","0.165032670508263","6.40050560288136","4.0335064000123e-10"
"50","race","1.3960160268396","0.521222142495834","4.69850958353011","1.06563455128425","1.31003262343285","0.191431248904447"
"51","race",NA,NA,NA,NA,NA,NA
"52","religion","1.48892628247327","0.756957515197372","2.76354245909631","0.511883914259933","2.90871863911941","0.00367876118194083"
"53","religion","1.61421578921767","0.653350681490683","3.69839206391183","0.776796271025803","2.07804265986757","0.0373899515290038"
"54","religion",NA,NA,NA,NA,NA,NA
"55","religion","5.29504127940584","1.20456886597538","41.5208259728193","10.2847594660316","0.51484347270291","0.619149008133001"
"56","religion",NA,NA,NA,NA,NA,NA
"57","religion","15254008827.1649","1108957803.85957","10855842590631636992","2769347599368030720","5.5081596945959e-09","0.999999996050649"
"58","religion","11662073881.2496","1475719650.23526","531508704073956","135588578661813","8.60107392255902e-05","0.999938329124197"
"59","religion","9.61099946499661e+53","171293082298452","Inf","Inf","0","1"
"60","religion","153102503.900548","22465781.1012394","1117816904.33498","279426306.947383","0.547917286575948","0.595862436801564"
"61","religion",NA,NA,NA,NA,NA,NA
"62","religion",NA,"1","1","0",NA,NA
"63","religion",NA,"1","1","0",NA,NA
"64","religion","1.55646022895492","0.672701321200694","3.2599842246773","0.660021148846073","2.35819750878606","0.0182380841073944"
"65","religion","10791379060.993","720501438.090284","822077934206199936","209713758542270048","5.14576589347517e-08","0.999999963104858"
"66","religion","5.1940342133131","0.938258469661172","62.0883943089782","15.5995244488054","0.332961061111761","0.752125472519937"
"67","religion",NA,NA,NA,NA,NA,NA
"68","religion",NA,"1","1","0",NA,NA
"69","BMI","1.7053711806752","1.4936785212497","1.99433922840014","0.127719568150622","13.3524659170787","4.28010873423737e-37"
"70","BMI","1.67090480410113","1.41158719899608","1.92813655472942","0.131772794829934","12.6801955309334","1.00608509220729e-33"
"71","BMI",NA,NA,NA,NA,NA,NA
"72","BMI","1.88551729037444","1.53588854460121","2.42201451183583","0.226052542661893","8.34105765045347","6.80974161608082e-16"
"73","BMI",NA,NA,NA,NA,NA,NA
"74","BMI","1.70034953816727","0.731111698209534","4.87147752518824","1.05621577218845","1.60985054658311","0.107273218472429"
"75","BMI","2.02924251500533","0.714457891468692","5.96299110487024","1.33891153403101","1.51559118241066","0.129738058379295"
"76","BMI","0.67441301354255","0.145000835323259","2.80513447193117","0.678605519542834","0.993821880489406","0.325157378848601"
"77","BMI","2.26424153916133","1.27723478406828","4.47262998043026","0.815151835806628","2.77769298884148","0.00550947213020585"
"78","BMI","2.9602826800044","1.63945961600785","6.72090509846383","1.29628711287142","2.28366281714167","0.0222175127462847"
"79","BMI",NA,NA,NA,NA,NA,NA
"80","BMI",NA,NA,NA,NA,NA,NA
"81","BMI","1.6070600678748","1.36874940106388","1.90080142507134","0.13572755714476","11.8403373764459","9.65521118415061e-30"
"82","BMI","1.89465099322871","0.838500055564954","6.78228068484508","1.51627056869391","1.24954677110216","0.213215100299094"
"83","BMI","1.80306810303324","1.44522927959711","2.29722958432965","0.217347016513403","8.29580332850831","9.6215339805554e-16"
"84","BMI","2.95963962910757","1.53578969707866","7.74874045084429","1.58493641677695","1.8673554331764","0.0614523849721672"
"85","BMI",NA,NA,NA,NA,NA,NA
"86","BMI, noBMIcov",NA,NA,NA,NA,NA,NA
"87","BMI, noBMIcov","1.7053711806752","1.47777313495701","2.013450242597","0.136652323377548","12.4796354611808","9.47851942857011e-33"
"88","BMI, noBMIcov",NA,NA,NA,NA,NA,NA
"89","BMI, noBMIcov","1.9140323822746","1.46328071542191","2.50867381738708","0.266681913766625","7.17721106482527","2.87432992098956e-12"
"90","BMI, noBMIcov",NA,NA,NA,NA,NA,NA
"91","BMI, noBMIcov","1.70034953816727","0.654534765815342","5.5788093053591","1.25619248457749","1.35357404143297","0.176807755297783"
"92","BMI, noBMIcov","1.89178469357563","0.730511343596106","6.4477823272524","1.45848749583069","1.2970866729976","0.19594845856416"
"93","BMI, noBMIcov","0.629500634057172","0.0875164206869661","2.35846855520452","0.579324524111621","1.08661140320703","0.280752522035479"
"94","BMI, noBMIcov","2.2536307739282","1.13853163702748","4.44874761185266","0.844442850720709","2.66877832171211","0.00762423573848247"
"95","BMI, noBMIcov","2.93144949127098","1.56424654506154","5.56507906607297","1.02062054107434","2.8722227050077","0.00412271398350649"
"96","BMI, noBMIcov",NA,NA,NA,NA,NA,NA
"97","BMI, noBMIcov",NA,NA,NA,NA,NA,NA
"98","BMI, noBMIcov","1.63584335574537","1.36469491892965","1.88022559842339","0.131512928442281","12.4386505199245","1.49283862084199e-32"
"99","BMI, noBMIcov","1.76947051909886","0.62623418685083","4.84789990712985","1.07695554088751","1.64303023840767","0.100152144872831"
"100","BMI, noBMIcov","1.82566496259643","1.45213558815133","2.36376445029002","0.232558383198645","7.85035111392649","2.63856789688267e-14"
"101","BMI, noBMIcov",NA,NA,NA,NA,NA,NA
"102","BMI, noBMIcov",NA,NA,NA,NA,NA,NA
