"","subset_female_undj","Number_events_female","Number_risk_female","Number_censored_female","probability_for_nodiab_female","probability_SE_female","probability_lower_CI_female","probability_upper_CI_female","cumhaz_output_female","cumhaz_output_std_female"
"1","female","167","9385","0","0.982205647309537","0.00138938544578241","0.979534596965323","0.984883981224911","0.0177943526904635","0.0013769683519787"
"2","female","644","9218","14","0.913585508790623","0.00317469164502344","0.907918571697969","0.919287817090579","0.0876576636038938","0.00307815715777839"
"3","female","546","8560","17","0.855312414421502","0.00424710127948322","0.848222203276599","0.862461891987262","0.151442710332866","0.00411419197881713"
"4","female","969","7997","57","0.751673833756948","0.00593961005344941","0.742974018970297","0.760475518562455","0.272613149247459","0.00566379400207666"
"5","female","2375","6971","182","0.49558068282125","0.0104598293813436","0.485524273195699","0.505845385585044","0.613310323254058","0.0089973364551899"
"6","female","4083","4414","331","0.0371629374748151","0.0538888131856695","0.0334379615252062","0.0413028743009925","1.53832165084808","0.0170445040681058"
"7","female","210","9922","0","0.978834912316065","0.00147623568447649","0.976006875195685","0.981671143839741","0.0211650876839347","0.00146052980711444"
"8","female","642","9712","14","0.914130215682322","0.00307692239310564","0.908633999386233","0.919659677920775","0.0872688768107881","0.00298990813337421"
"9","female","471","9056","11","0.866586561576053","0.00394026136234434","0.859919888291463","0.873304919364384","0.139278594125276","0.00383179763831437"
"10","female","887","8574","45","0.776936190673562","0.00538365529875397","0.768781238559293","0.785177647557524","0.242730891769316","0.00517189405553086"
"11","female","2080","7642","159","0.565469653562726","0.00882719600956968","0.555770614255571","0.57533795580151","0.514910949345866","0.00789714039759427"
"12","female","5023","5403","380","0.0397702143908636","0.0502435665046665","0.0360404770440746","0.0438859327738919","1.44457965191851","0.015311110524205"
