"","subset_race_undj","Number_events_race","Number_risk_race","Number_censored_race","probability_for_nodiab_race","probability_SE_race","probability_lower_CI_race","probability_upper_CI_race","cumhaz_output_race","cumhaz_output_std_race"
"1","race","0","3893","90","1","0","1","1","0","0"
"2","race","13","3803","393","0.996581646068893","0.000949705402330414","0.994728345959456","0.998438399102246","0.00341835393110702","0.000948080798176174"
"3","race","9","3397","227","0.993941306117577","0.00129766505824271","0.991416550943596","0.99647249086819","0.0060677504574538","0.00129567728975371"
"4","race","28","3161","416","0.985137017420553","0.00212396862602343","0.981044512807344","0.989246594239754","0.0149257068003832","0.00211684755904339"
"5","race","148","2717","1285","0.931474787542658","0.0050709726028737","0.922262785255877","0.940778803719068","0.0693975507459114","0.00495273350260873"
"6","race","152","1284","1132","0.821206744157546","0.0114144991090524","0.803038686719987","0.839785838219508","0.187777613051207","0.0108039751644698"
"7","race","0","2924","61","1","0","1","1","0","0"
"8","race","12","2863","286","0.995808592385609","0.00121249886393804","0.993444908674169","0.998177899962691","0.0041914076143905","0.0012099551572259"
"9","race","5","2565","154","0.993867445032031","0.00149385599599374","0.990961752483838","0.99678165763578","0.00614072535318192","0.00149129454228564"
"10","race","29","2406","244","0.981888161613108","0.00270228927775688","0.976701446862338","0.987102420103055","0.018193925685684","0.0026895356681617"
"11","race","101","2133","898","0.935394629347321","0.00553218744795114","0.925307038144791","0.945592194312154","0.0655450743026554","0.00542521167035907"
"12","race","133","1134","1001","0.825687851831277","0.0121561458444985","0.8062478413407","0.845596594129242","0.182829024919939","0.0115264010954219"
