"","X","Model","subset","analysed_n","diabetes_onset_n","median_timepoint","BIC","hazard_ratio","asterix_mark","CI_both"
"1",1,1,"all_ageism",14043,6264,2.5,99228.51,NA,NA,"[NA;NA]"
"2",2,2,"all_ageism",14043,6264,2.5,37146.02,NA,NA,"[NA;NA]"
"3",3,3,"all_ageism",14043,6264,2.5,4194.81,NA,NA,"[NA;NA]"
"4",4,4,"all_ageism",14043,6264,2.5,15720.13,NA,NA,"[NA;NA]"
"5",5,5,"all_ageism",14043,6264,2.5,97120.91,NA,NA,"[NA;NA]"
"6",6,6,"all_ageism",14043,6264,2.5,3314.96,NA,NA,"[NA;NA]"
"7",7,7,"all_ageism",14043,6264,2.5,37137.48,NA,NA,"[NA;NA]"
"8",1,1,"FEMALE_sexism",8159,3500,2,51550.09,NA,NA,"[NA;NA]"
"9",2,2,"FEMALE_sexism",8159,3500,2,18743.65,NA,NA,"[NA;NA]"
"10",3,3,"FEMALE_sexism",8159,3500,2,2006.71,NA,NA,"[NA;NA]"
"11",4,4,"FEMALE_sexism",8159,3500,2,7218.07,NA,NA,"[NA;NA]"
"12",5,5,"FEMALE_sexism",8159,3500,2,50667.06,NA,NA,"[NA;NA]"
"13",6,6,"FEMALE_sexism",8159,3500,2,1176.71,NA,NA,"[NA;NA]"
"14",7,7,"FEMALE_sexism",8159,3500,2,18735.4,NA,NA,"[NA;NA]"
"15",1,1,"race_racism",4028,2185,2,29885.15,NA,NA,"[NA;NA]"
"16",2,2,"race_racism",4028,2185,2,11191.11,NA,NA,"[NA;NA]"
"17",3,3,"race_racism",4028,2185,2,1956.39,NA,NA,"[NA;NA]"
"18",4,4,"race_racism",4028,2185,2,3285.64,NA,NA,"[NA;NA]"
"19",5,5,"race_racism",4028,2185,2,29264.09,NA,NA,"[NA;NA]"
"20",6,6,"race_racism",4028,2185,2,627.99,NA,NA,"[NA;NA]"
"21",7,7,"race_racism",4028,2185,2,11206.26,NA,NA,"[NA;NA]"
"22",1,1,"Combo_reason",4458,2322,2,32294.37,NA,NA,"[NA;NA]"
"23",2,2,"Combo_reason",4458,2322,2,33423.76,NA,NA,"[NA;NA]"
"24",3,3,"Combo_reason",4458,2322,2,2066.98,NA,NA,"[NA;NA]"
"25",4,4,"Combo_reason",4458,2322,2,3683.65,NA,NA,"[NA;NA]"
"26",5,5,"Combo_reason",4458,2322,2,31649.18,NA,NA,"[NA;NA]"
"27",6,6,"Combo_reason",4458,2322,2,668.4,NA,NA,"[NA;NA]"
"28",7,7,"Combo_reason",4458,2322,2,33431.51,NA,NA,"[NA;NA]"
